45.814292	9.071090	Puecher 9
45.814659	9.073520	Puecher 4
45.814643	9.075697	Mafalda 1
45.813302	9.076889	Mafalda 2
45.813122	9.080113	Mafalda 3
45.814200	9.082088	Trieste 12
45.814925	9.083340	Trieste 24
45.816548	9.082848	Trieste 30
45.817518	9.082591	Geno 3
45.818399	9.081351	Geno
45.819891	9.080204	Geno 7
45.818399	9.081351	Geno
45.817518	9.082591	Geno 3
45.816548	9.082848	Trieste 30
45.814925	9.083340	Trieste 24
45.814200	9.082088	Trieste 12
45.813122	9.080113	Mafalda 3
45.813302	9.076889	Mafalda 2
45.814643	9.075697	Mafalda 1
45.814659	9.073520	Puecher 4
